Entity,Code,Year,10.5.1 - Return on assets (%) - FI_FSI_FSERA,10.5.1 - Regulatory capital to assets (%) - FI_FSI_FSKA,10.5.1 - Liquid assets to short term liabilities (%) - FI_FSI_FSLS,10.5.1 - Non-performing loans to total gross loans (%) - FI_FSI_FSANL,10.5.1 - Net open position in foreign exchange to capital (%) - FI_FSI_FSSNO,10.5.1 - Non-performing loans net of provisions to capital (%) - FI_FSI_FSKNL,10.5.1 - Regulatory Tier 1 capital to risk-weighted assets (%) - FI_FSI_FSKRTC
Kyrgyzstan,KGZ,2017,1.31545712131977,17.7709989959205,65.0860499685386,7.36791636375828,2.78831756115026,9.43673394055225,20.2323689687643
Kyrgyzstan,KGZ,2018,1.61186167502227,17.3247454104499,66.9268261236187,7.29695767112001,3.33786858166891,11.1234910714633,19.6266007189848
Kyrgyzstan,KGZ,2019,1.43602566970707,18.2183994672887,63.9580737397217,7.73068414377395,4.78215643284286,10.8937615149876,19.9711409570355
Kyrgyzstan,KGZ,2020,1.00542959825969,17.563465688939,64.8661218334852,10.0935469076538,2.51127442567989,13.4191643985242,21.6290821085525
Latvia,LVA,2008,0.225075759211864,7.74728093818509,18.0271404708481,2.09770978216404,8.50106914902568,12.2909932860202,9.62293958533473
Latvia,LVA,2009,-3.89560428141918,7.70107393117967,35.6869473018236,14.2791092179755,12.0233761936277,104.618689448869,10.8060263633194
Latvia,LVA,2010,-1.82482264917011,9.27409173599959,29.6646597876537,15.934006136678,8.33810170946287,98.8055824843149,10.895758215466
Latvia,LVA,2011,-1.07616953100592,9.92612955296581,65.6052014927531,14.0547963104412,14.3328767107125,46.0142839125047,13.513396640894
Latvia,LVA,2012,0.8216057791677,10.4837572400506,56.2004847535665,8.72379173476539,12.8177102210946,20.928868297105,14.5314627590148
Latvia,LVA,2013,0.868165282810815,11.3037755219603,55.2031307350869,6.4070404515206,9.07356987304377,12.3426669285475,16.5103359583682
Latvia,LVA,2014,1.10087748653962,10.074431781687,44.3422968960129,4.59773748658139,2.52474400512856,7.94101861373938,17.0735828166959
Latvia,LVA,2015,1.23548032983585,10.0633294720584,46.4572546925689,4.64465437865448,2.33525192732064,6.22721865273934,19.3317684149204
Latvia,LVA,2016,1.64913027167158,10.0756500721324,37.5291118687765,6.25574429440967,3.42547753783031,26.5044796186144,17.3004759962635
Latvia,LVA,2017,1.01072355876581,11.1304353868511,42.0959070438356,5.50697759974228,2.04121805692241,22.4261380762851,18.5483848317036
Latvia,LVA,2018,1.1835455372553,12.802289652386,37.1531453970065,5.28840202667788,0.905570798604407,21.7295783944218,20.3025023585122
Latvia,LVA,2019,0.545327023093393,9.70463303377119,41.2263032617691,5.00157140025618,4.82293322767999,24.685122366702,20.241531097701
Lebanon,LBN,2011,1.30608713041677,,32.4785353072084,3.75693540607082,16.9090260672114,5.24220078661118,10.9947064030281
Lebanon,LBN,2012,1.20487706370698,,33.9373006030046,3.78697626538232,13.9006395419995,5.15538218611064,12.0782714821387
Lebanon,LBN,2013,1.17414597004946,,33.8387043039657,3.9655306434989,11.7572217347367,6.13384899356368,13.4589462776319
Lebanon,LBN,2014,1.12596598374883,,29.9992690660602,4.00804103961214,13.9102112402983,6.32978245645649,13.8438754633315
Lebanon,LBN,2015,1.16117104562838,,28.094067619628,4.1952846897168,14.1458348637299,6.81326062561836,13.8701053213433
Lebanon,LBN,2016,1.19900654300601,,29.6933094340586,4.87908349477483,16.0694206064575,8.74200352651828,14.8211041995414
Lebanon,LBN,2017,1.12252670829437,,25.2741216013566,5.66619171650023,16.4053734992034,11.6049438020927,15.3371928299171
Lebanon,LBN,2018,1.21636902128343,,27.1922865376865,10.2552072608668,11.8296372314516,13.0626663196365,15.5133954237863
Lebanon,LBN,2019,0.686049498464967,,19.8099098706262,15.1937514915567,0.973017963703948,16.9005410615405,9.09981098638485
Lebanon,LBN,2010,,,,,,,11.3578631740617
Lesotho,LSO,2009,4.84342081547196,8.93492616703984,,3.01980960697869,,3.00449571372639,11.9192093293379
Lesotho,LSO,2010,4.19814561524522,8.96409203960654,,3.03446708520046,,3.72291155938301,13.4185916545941
Lesotho,LSO,2011,2.62426278425652,10.112938669939,,2.09514417020733,,2.01255210902386,14.2731833449835
Lesotho,LSO,2012,3.26277886890195,11.3673064538809,,2.46477351436711,,2.59463266790098,12.419010711305
Lesotho,LSO,2013,3.55252041973178,10.3750874670458,68.6901001536074,3.78801708370063,16.01107214875,6.64291704025176,11.4297472065415
