Entity,Code,Year,"16.7.1 - Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral - SG_DMK_PARLMP_LC"
Kyrgyzstan,KGZ,2021,0.33036
Kyrgyzstan,KGZ,2022,0.39531
Landlocked developing countries (LLDCs),,2021,0.53939
Landlocked developing countries (LLDCs),,2022,0.56778
Laos,LAO,2021,0.54694
Laos,LAO,2022,0.43631
Latin America and the Caribbean,,2021,0.63778
Latin America and the Caribbean,,2022,0.67577
Latvia,LVA,2021,0.52309
Latvia,LVA,2022,0.48702
Least developed countries (LDCs),,2021,0.47589
Least developed countries (LDCs),,2022,0.50614
Lebanon,LBN,2021,0.09319
Lebanon,LBN,2022,0.09319
Lesotho,LSO,2021,0.45669
Lesotho,LSO,2022,0.47655
Liberia,LBR,2021,0.2163
Liberia,LBR,2022,0.2163
Libya,LBY,2021,0.31962
Libya,LBY,2022,0.3299
Lithuania,LTU,2021,0.49925
Lithuania,LTU,2022,0.51205
Luxembourg,LUX,2021,0.63897
Luxembourg,LUX,2022,0.6726
Madagascar,MDG,2021,0.35292
Madagascar,MDG,2022,0.36599
Malawi,MWI,2021,0.44105
Malawi,MWI,2022,0.44105
Malaysia,MYS,2021,0.30541
Malaysia,MYS,2022,0.30818
Maldives,MDV,2021,0.13934
Maldives,MDV,2022,0.13934
Mali,MLI,2021,0.53509
Mali,MLI,2022,0.51887
Malta,MLT,2021,0.26785
Malta,MLT,2022,0.26785
Mauritania,MRT,2021,0.40075
Mauritania,MRT,2022,0.40075
Mauritius,MUS,2021,0.39139
Mauritius,MUS,2022,0.39139
Melanesia,OWID_MNS,2021,0.11441
Melanesia,OWID_MNS,2022,0.10678
Mexico,MEX,2021,0.92203
Mexico,MEX,2022,0.95646
Micronesia (country),FSM,2021,0
Micronesia (country),FSM,2022,0.14236
Middle Africa,,2021,0.36184
Middle Africa,,2022,0.38723
Moldova,MDA,2021,0.46753
Moldova,MDA,2022,0.76675
Mongolia,MNG,2021,0.33486
Mongolia,MNG,2022,0.33045
Montenegro,MNE,2021,0.48129
Montenegro,MNE,2022,0.52942
Morocco,MAR,2021,0.40093
Morocco,MAR,2022,0.47023
Mozambique,MOZ,2021,0.80052
Mozambique,MOZ,2022,0.80052
Myanmar,MMR,2021,0.28675
Myanmar,MMR,2022,0.28675
Namibia,NAM,2021,0.83629
Namibia,NAM,2022,0.83629
Nepal,NPL,2021,0.56036
Nepal,NPL,2022,0.57495
Netherlands,NLD,2021,0.65958
Netherlands,NLD,2022,0.80469
New Zealand,NZL,2021,0.93866
