Entity,Code,Year,"8.a.1 - Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2019 United States dollars) - DC_TOF_TRDCMDL"
Portugal,PRT,2014,43300000
Portugal,PRT,2015,26000000
Portugal,PRT,2016,4400000
Portugal,PRT,2017,3500000
Portugal,PRT,2018,16399999.999999998
Portugal,PRT,2019,4700000
Slovakia,SVK,2013,1000000
Slovakia,SVK,2014,900000
Slovakia,SVK,2015,900000
Slovakia,SVK,2016,800000
Slovakia,SVK,2017,800000
Slovakia,SVK,2018,700000
Slovakia,SVK,2019,3000000
Slovenia,SVN,2010,4099999.9999999995
Slovenia,SVN,2011,2500000
Slovenia,SVN,2012,1200000
Slovenia,SVN,2013,2000000
Slovenia,SVN,2014,400000
Slovenia,SVN,2015,100000
Slovenia,SVN,2016,1200000
Slovenia,SVN,2017,1000000
Slovenia,SVN,2018,6200000
Slovenia,SVN,2019,1200000
South Korea,KOR,2006,204100000
South Korea,KOR,2007,520500000
South Korea,KOR,2008,707400000
South Korea,KOR,2009,1175600000
South Korea,KOR,2010,786800000
South Korea,KOR,2011,792700000
South Korea,KOR,2012,820600000
South Korea,KOR,2013,714700000
South Korea,KOR,2014,1032700000
South Korea,KOR,2015,898800000
South Korea,KOR,2016,1024500000
South Korea,KOR,2017,1143400000
South Korea,KOR,2018,1452200000
South Korea,KOR,2019,1402900000
Spain,ESP,2005,126900000
Spain,ESP,2006,698700000
Spain,ESP,2007,570900000
Spain,ESP,2008,739400000
Spain,ESP,2009,775500000
Spain,ESP,2010,1176300000
Spain,ESP,2011,543500000
Spain,ESP,2012,78600000
Spain,ESP,2013,84300000
Spain,ESP,2014,112400000
Spain,ESP,2015,53100000
Spain,ESP,2016,43700000
Spain,ESP,2017,107600000
Spain,ESP,2018,91100000
Spain,ESP,2019,102400000
Sweden,SWE,2005,113200000
Sweden,SWE,2006,324600000
Sweden,SWE,2007,324800000
Sweden,SWE,2008,277100000
Sweden,SWE,2009,327600000
Sweden,SWE,2010,334500000
Sweden,SWE,2011,275700000
Sweden,SWE,2012,306900000
Sweden,SWE,2013,396100000
Sweden,SWE,2014,360600000
Sweden,SWE,2015,276900000
Sweden,SWE,2016,328000000
Sweden,SWE,2017,363300000
Sweden,SWE,2018,517500000
Sweden,SWE,2019,460600000
Switzerland,CHE,2005,122300000
Switzerland,CHE,2006,242200000
Switzerland,CHE,2007,245300000
Switzerland,CHE,2008,300500000
Switzerland,CHE,2009,201100000
Switzerland,CHE,2010,297000000
Switzerland,CHE,2011,343100000
Switzerland,CHE,2012,263700000
Switzerland,CHE,2013,461800000
Switzerland,CHE,2014,389200000
Switzerland,CHE,2015,304500000
Switzerland,CHE,2016,353000000
Switzerland,CHE,2017,693000000
Switzerland,CHE,2018,287600000
Switzerland,CHE,2019,341800000
United Kingdom,GBR,2005,326500000
United Kingdom,GBR,2006,562200000
United Kingdom,GBR,2007,423900000
United Kingdom,GBR,2008,1533200000
United Kingdom,GBR,2009,1806800000
United Kingdom,GBR,2010,921600000
United Kingdom,GBR,2011,722200000
United Kingdom,GBR,2012,854400000
United Kingdom,GBR,2013,879400000
United Kingdom,GBR,2014,914200000
United Kingdom,GBR,2015,1566200000
United Kingdom,GBR,2016,838900000
United Kingdom,GBR,2017,1175900000
United Kingdom,GBR,2018,648500000
United Kingdom,GBR,2019,1175300000
United States,USA,2005,3394600000
United States,USA,2006,5634000000
United States,USA,2007,5770000000
United States,USA,2008,7647200000
United States,USA,2009,5315600000
United States,USA,2010,5159600000
United States,USA,2011,4190300000
United States,USA,2012,3441400000
United States,USA,2013,4207899999.9999995
United States,USA,2014,3175300000
United States,USA,2015,3632500000
United States,USA,2016,3100500000
United States,USA,2017,2519100000
United States,USA,2018,2506900000
United States,USA,2019,2689000000
