Entity,Code,Year,"3.9.1 - Age-standardized mortality rate attributed to household and ambient air pollution (deaths per 100,000 population) - SH_STA_ASAIRP"
Paraguay,PRY,2016,57
Peru,PER,2016,64
Philippines,PHL,2016,185
Poland,POL,2016,38
Portugal,PRT,2016,10
Qatar,QAT,2016,47
Romania,ROU,2016,59
Russia,RUS,2016,49
Rwanda,RWA,2016,121
Saint Lucia,LCA,2016,30
Saint Vincent and the Grenadines,VCT,2016,48
Samoa,WSM,2016,85
Sao Tome and Principe,STP,2016,162
Saudi Arabia,SAU,2016,84
Senegal,SEN,2016,161
Serbia,SRB,2016,62
Seychelles,SYC,2016,49
Sierra Leone,SLE,2016,324
Singapore,SGP,2016,26
Slovakia,SVK,2016,34
Slovenia,SVN,2016,23
Solomon Islands,SLB,2016,137
Somalia,SOM,2016,213
South Africa,ZAF,2016,87
South Korea,KOR,2016,20
South Sudan,SSD,2016,165
South-eastern Asia,,2016,113
Southern Asia,,2016,174
Spain,ESP,2016,10
Sri Lanka,LKA,2016,80
Sub-Saharan Africa,,2016,187
Sub-Saharan Africa (inc. Sudan),,2016,187
Sudan,SDN,2016,185
Suriname,SUR,2016,57
Sweden,SWE,2016,7
Switzerland,CHE,2016,10
Syria,SYR,2016,75
Tajikistan,TJK,2016,129
Tanzania,TZA,2016,139
Thailand,THA,2016,61
Timor,TLS,2016,140
Togo,TGO,2016,250
Tonga,TON,2016,73
Trinidad and Tobago,TTO,2016,39
Tunisia,TUN,2016,56
Turkey,TUR,2016,47
Turkmenistan,TKM,2016,79
Uganda,UGA,2016,156
Ukraine,UKR,2016,71
United Arab Emirates,ARE,2016,55
United Kingdom,GBR,2016,14
United States,USA,2016,13
Uruguay,URY,2016,18
Uzbekistan,UZB,2016,81
Vanuatu,VUT,2016,136
Venezuela,VEN,2016,35
Vietnam,VNM,2016,64
Western Asia,,2016,75
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2016,78
Yemen,YEM,2016,194
Zambia,ZMB,2016,127
Zimbabwe,ZWE,2016,133
