Entity,Code,Year,17.19.1 - Dollar value of all resources made available to strengthen statistical capacity in developing countries (current United States dollars) - SG_STT_CAPTY
Niue,NIU,2018,15918.97
North Korea,PRK,2018,322821
North Macedonia,MKD,2018,3342232.16
Northern Africa,,2018,3838002.899
Northern Africa and Western Asia,,2018,24966049.735
Northern America,,2018,36969.92
Northern Europe,,2018,0
Oceania,,2018,6942975.708
Oceania (exc. Australia and New Zealand),,2018,6895689.578
Oman,OMN,2018,7320
Pakistan,PAK,2018,35261287.08
Palau,PLW,2018,1105000
Palestine,PSE,2018,5237918.26
Panama,PAN,2018,112379.52
Papua New Guinea,PNG,2018,949138.045
Paraguay,PRY,2018,312571.513
Peru,PER,2018,370737.577
Philippines,PHL,2018,286417.163
Polynesia,OWID_PYA,2018,439676.003
Qatar,QAT,2018,102345.72
Rwanda,RWA,2018,4179518.55
Saint Kitts and Nevis,KNA,2018,22744.14
Saint Lucia,LCA,2018,54307.1
Saint Vincent and the Grenadines,VCT,2018,55226.93
Samoa,WSM,2018,157371.841
San Marino,SMR,2018,29031.58
Sao Tome and Principe,STP,2018,2155776.13
Saudi Arabia,SAU,2018,79735.27
Senegal,SEN,2018,577685.28
Serbia,SRB,2018,30678673.88
Seychelles,SYC,2018,40452.06
Sierra Leone,SLE,2018,336873.85
Singapore,SGP,2018,20677.29
Small Island Developing States (SIDS),,2018,41817898.046
Solomon Islands,SLB,2018,125624.67
Somalia,SOM,2018,713918.04
South Africa,ZAF,2018,560737.73
South America,,2018,52372316.5603
South Sudan,SSD,2018,230308.39
South-eastern Asia,,2018,10688499.31
Southern Africa,,2018,1603473.17
Southern Asia,,2018,65899697.808
Southern Europe,,2018,38144218.59
Sri Lanka,LKA,2018,216405.977
Sub-Saharan Africa,,2018,185313794.1172
Sudan,SDN,2018,512017.63
Suriname,SUR,2018,45958.289
Syria,SYR,2018,14946.2
Tajikistan,TJK,2018,553985.379
Tanzania,TZA,2018,11401539.36
Thailand,THA,2018,235376.601
Timor,TLS,2018,515881.17
Togo,TGO,2018,1636746.59
Tonga,TON,2018,90638.87
Trinidad and Tobago,TTO,2018,53585.17
Tunisia,TUN,2018,389540.39
Turkey,TUR,2018,2692199.97
Turkmenistan,TKM,2018,132359.57
Turks and Caicos Islands,TCA,2018,15707.51
Tuvalu,TUV,2018,122443.21
Uganda,UGA,2018,831556.28
Ukraine,UKR,2018,375891.09
United Arab Emirates,ARE,2018,98614.31
Uzbekistan,UZB,2018,426837.03
Vanuatu,VUT,2018,86278.53
Venezuela,VEN,2018,167537.255
Vietnam,VNM,2018,4355907.965
Western Africa,,2018,91740550.55
Western Asia,,2018,21128046.836
Western Europe,,2018,0
World,OWID_WRL,2018,421009487.1435
Yemen,YEM,2018,570266.16
Zambia,ZMB,2018,7525617.48
Zimbabwe,ZWE,2018,688740.73
