Entity,Code,Year,Indicator:General government expenditure on health as a percentage of total government expenditure
Iceland,ISL,2012,15.38332
Iceland,ISL,2013,15.98722
Iceland,ISL,2014,15.72585
India,IND,1995,4.52015
India,IND,1996,4.4268
India,IND,1997,4.59741
India,IND,1998,4.59563
India,IND,1999,4.52504
India,IND,2000,4.38714
India,IND,2001,4.25354
India,IND,2002,3.82039
India,IND,2003,3.60425
India,IND,2004,4.03833
India,IND,2005,4.5084
India,IND,2006,4.39923
India,IND,2007,4.42519
India,IND,2008,4.34361
India,IND,2009,4.36884
India,IND,2010,4.29122
India,IND,2011,4.4215
India,IND,2012,4.48916
India,IND,2013,4.65674
India,IND,2014,5.04773
Indonesia,IDN,1995,4.92799
Indonesia,IDN,1996,5.22691
Indonesia,IDN,1997,3.67348
Indonesia,IDN,1998,3.8864
Indonesia,IDN,1999,4.22366
Indonesia,IDN,2000,4.35405
Indonesia,IDN,2001,4.54123
Indonesia,IDN,2002,4.80198
Indonesia,IDN,2003,5.13603
Indonesia,IDN,2004,4.81993
Indonesia,IDN,2005,4.23545
Indonesia,IDN,2006,4.53666
Indonesia,IDN,2007,5.52965
Indonesia,IDN,2008,4.73966
Indonesia,IDN,2009,5.58445
Indonesia,IDN,2010,6.11741
Indonesia,IDN,2011,5.82676
Indonesia,IDN,2012,6.09338
Indonesia,IDN,2013,6.029
Indonesia,IDN,2014,5.73007
Iran,IRN,1995,6.19933
Iran,IRN,1996,7.45429
Iran,IRN,1997,8.46053
Iran,IRN,1998,9.71643
Iran,IRN,1999,9.16432
Iran,IRN,2000,10.60746
Iran,IRN,2001,11.87777
Iran,IRN,2002,9.90751
Iran,IRN,2003,10.71814
Iran,IRN,2004,11.06638
Iran,IRN,2005,9.55435
Iran,IRN,2006,10.15977
Iran,IRN,2007,11.37092
Iran,IRN,2008,10.06964
Iran,IRN,2009,12.83221
Iran,IRN,2010,12.65274
Iran,IRN,2011,12.72739
Iran,IRN,2012,17.53158
Iran,IRN,2013,17.53158
Iran,IRN,2014,17.53158
Iraq,IRQ,2003,1.69323
Iraq,IRQ,2004,3.1664
Iraq,IRQ,2005,3.19772
Iraq,IRQ,2006,3.20038
Iraq,IRQ,2007,4.68983
Iraq,IRQ,2008,4.24575
Iraq,IRQ,2009,4.96854
Iraq,IRQ,2010,4.81591
Iraq,IRQ,2011,4.87189
Iraq,IRQ,2012,6.46038
Iraq,IRQ,2013,6.46038
Iraq,IRQ,2014,6.46038
Ireland,IRL,1995,11.43654
Ireland,IRL,1996,11.64395
Ireland,IRL,1997,12.7222
Ireland,IRL,1998,12.99033
Ireland,IRL,1999,13.13423
Ireland,IRL,2000,14.46313
Ireland,IRL,2001,15.10873
Ireland,IRL,2002,15.64768
Ireland,IRL,2003,16.40355
Ireland,IRL,2004,16.88217
Ireland,IRL,2005,16.53845
Ireland,IRL,2006,16.07908
Ireland,IRL,2007,15.96425
Ireland,IRL,2008,15.56073
Ireland,IRL,2009,14.65887
Ireland,IRL,2010,9.29385
Ireland,IRL,2011,12.14805
Ireland,IRL,2012,13.44325
Ireland,IRL,2013,13.44325
Ireland,IRL,2014,13.44325
Israel,ISR,1995,9.79607
Israel,ISR,1996,10.14819
Israel,ISR,1997,10.37261
Israel,ISR,1998,9.19651
Israel,ISR,1999,9.13349
Israel,ISR,2000,9.28965
Israel,ISR,2001,9.43486
Israel,ISR,2002,9.22951
Israel,ISR,2003,9.1448
Israel,ISR,2004,9.52849
Israel,ISR,2005,9.60882
Israel,ISR,2006,10.53209
Israel,ISR,2007,10.67554
Israel,ISR,2008,10.59331
Israel,ISR,2009,10.83466
Israel,ISR,2010,11.17887
Israel,ISR,2011,11.26702
Israel,ISR,2012,11.76269
Israel,ISR,2013,11.76269
Israel,ISR,2014,11.56968
Italy,ITA,1995,9.69551
Italy,ITA,1996,9.8496
Italy,ITA,1997,10.65676
Italy,ITA,1998,10.97508
Italy,ITA,1999,11.37232
Italy,ITA,2000,12.54325
Italy,ITA,2001,12.5753
Italy,ITA,2002,12.99406
Italy,ITA,2003,12.85449
Italy,ITA,2004,13.70177
Italy,ITA,2005,14.0998
Italy,ITA,2006,14.16494
Italy,ITA,2007,13.87203
Italy,ITA,2008,14.30039
Italy,ITA,2009,14.17603
Italy,ITA,2010,14.55601
Italy,ITA,2011,14.19287
Italy,ITA,2012,13.7726
Italy,ITA,2013,13.65742
Italy,ITA,2014,13.65207
Jamaica,JAM,1995,5.59563
Jamaica,JAM,1996,6.045
Jamaica,JAM,1997,7.71517
Jamaica,JAM,1998,8.37941
Jamaica,JAM,1999,6.4693
Jamaica,JAM,2000,7.37319
Jamaica,JAM,2001,4.71705
Jamaica,JAM,2002,5.86783
Jamaica,JAM,2003,4.49453
Jamaica,JAM,2004,5.16771
Jamaica,JAM,2005,3.52445
Jamaica,JAM,2006,4.49651
Jamaica,JAM,2007,5.53712
Jamaica,JAM,2008,6.44702
Jamaica,JAM,2009,5.49192
Jamaica,JAM,2010,8.47289
Jamaica,JAM,2011,6.46005
Jamaica,JAM,2012,7.13427
Jamaica,JAM,2013,9.71889
Jamaica,JAM,2014,8.07549
Japan,JPN,1995,14.99313
Japan,JPN,1996,14.46172
Japan,JPN,1997,15.25072
Japan,JPN,1998,15.45914
Japan,JPN,1999,15.17577
Japan,JPN,2000,15.37761
Japan,JPN,2001,16.20672
Japan,JPN,2002,16.25762
Japan,JPN,2003,16.59429
Japan,JPN,2004,17.89573
Japan,JPN,2005,18.26592
Japan,JPN,2006,18.34511
Japan,JPN,2007,18.7056
Japan,JPN,2008,18.59155
Japan,JPN,2009,18.52105
Japan,JPN,2010,19.35961
Japan,JPN,2011,19.71636
Japan,JPN,2012,20.04514
Japan,JPN,2013,20.12175
Japan,JPN,2014,20.28216
Jordan,JOR,1995,14.75382
Jordan,JOR,1996,14.74191
Jordan,JOR,1997,14.80003
Jordan,JOR,1998,14.74247
Jordan,JOR,1999,14.80439
Jordan,JOR,2000,13.71079
Jordan,JOR,2001,14.39389
Jordan,JOR,2002,14.30359
Jordan,JOR,2003,12.10516
Jordan,JOR,2004,12.43908
Jordan,JOR,2005,12.25664
Jordan,JOR,2006,12.34711
Jordan,JOR,2007,13.50868
Jordan,JOR,2008,15.81248
Jordan,JOR,2009,19.14843
Jordan,JOR,2010,19.45969
Jordan,JOR,2011,17.77889
Jordan,JOR,2012,17.46492
Jordan,JOR,2013,13.69326
Jordan,JOR,2014,13.67528
Kazakhstan,KAZ,1995,11.51014
Kazakhstan,KAZ,1996,13.95047
Kazakhstan,KAZ,1997,14.68624
Kazakhstan,KAZ,1998,14.20498
Kazakhstan,KAZ,1999,9.88471
Kazakhstan,KAZ,2000,9.15282
Kazakhstan,KAZ,2001,8.41232
Kazakhstan,KAZ,2002,8.7509
Kazakhstan,KAZ,2003,8.74271
Kazakhstan,KAZ,2004,10.17525
Kazakhstan,KAZ,2005,9.32794
Kazakhstan,KAZ,2006,10.43691
Kazakhstan,KAZ,2007,7.38154
Kazakhstan,KAZ,2008,8.31591
Kazakhstan,KAZ,2009,11.27786
Kazakhstan,KAZ,2010,11.42313
Kazakhstan,KAZ,2011,10.54495
Kazakhstan,KAZ,2012,10.90237
Kazakhstan,KAZ,2013,10.90237
Kazakhstan,KAZ,2014,10.90237
Kenya,KEN,1995,6.44625
Kenya,KEN,1996,7.26656
Kenya,KEN,1997,6.84744
Kenya,KEN,1998,8.85832
Kenya,KEN,1999,8.28837
Kenya,KEN,2000,10.55288
Kenya,KEN,2001,9.2063
Kenya,KEN,2002,8.26673
Kenya,KEN,2003,8.20836
Kenya,KEN,2004,7.91096
Kenya,KEN,2005,7.61107
Kenya,KEN,2006,7.53954
Kenya,KEN,2007,7.13061
Kenya,KEN,2008,6.06207
Kenya,KEN,2009,7.06545
Kenya,KEN,2010,5.85073
Kenya,KEN,2011,11.10961
Kenya,KEN,2012,13.35302
Kenya,KEN,2013,13.05254
Kenya,KEN,2014,12.80119
Kiribati,KIR,1995,10.89063
Kiribati,KIR,1996,10.74648
Kiribati,KIR,1997,10.87013
Kiribati,KIR,1998,7.98876
Kiribati,KIR,1999,9.93548
Kiribati,KIR,2000,10.38824
Kiribati,KIR,2001,8.15748
Kiribati,KIR,2002,8.56391
Kiribati,KIR,2003,10.528
Kiribati,KIR,2004,9.35374
Kiribati,KIR,2005,9.1958
Kiribati,KIR,2006,10.57724
Kiribati,KIR,2007,13.09307
Kiribati,KIR,2008,11.85842
Kiribati,KIR,2009,12.51449
Kiribati,KIR,2010,10.22143
Kiribati,KIR,2011,10.07746
Kiribati,KIR,2012,8.3631
Kiribati,KIR,2013,7.96
Kiribati,KIR,2014,5.81
Kuwait,KWT,1995,5.64143
Kuwait,KWT,1996,6.18371
Kuwait,KWT,1997,6.75757
Kuwait,KWT,1998,6.74
Kuwait,KWT,1999,6.48254
Kuwait,KWT,2000,5.21733
Kuwait,KWT,2001,6.84417
Kuwait,KWT,2002,6.79615
Kuwait,KWT,2003,7.0015
Kuwait,KWT,2004,6.42539
Kuwait,KWT,2005,6.75054
Kuwait,KWT,2006,5.7223
Kuwait,KWT,2007,5.57651
Kuwait,KWT,2008,3.74165
Kuwait,KWT,2009,7.98881
Kuwait,KWT,2010,5.21545
Kuwait,KWT,2011,5.7699
Kuwait,KWT,2012,5.7699
Kuwait,KWT,2013,5.7699
Kuwait,KWT,2014,5.7699
Kyrgyzstan,KGZ,1995,10.71091
Kyrgyzstan,KGZ,1996,11.32667
Kyrgyzstan,KGZ,1997,11.74003
Kyrgyzstan,KGZ,1998,11.8821
Kyrgyzstan,KGZ,1999,12.13751
Kyrgyzstan,KGZ,2000,11.96919
Kyrgyzstan,KGZ,2001,11.86958
Kyrgyzstan,KGZ,2002,10.66451
Kyrgyzstan,KGZ,2003,10.21347
Kyrgyzstan,KGZ,2004,11.39322
Kyrgyzstan,KGZ,2005,11.92432
Kyrgyzstan,KGZ,2006,14.74129
Kyrgyzstan,KGZ,2007,13.96844
Kyrgyzstan,KGZ,2008,13.0596
Kyrgyzstan,KGZ,2009,12.99204
Kyrgyzstan,KGZ,2010,11.88697
Kyrgyzstan,KGZ,2011,11.56242
Kyrgyzstan,KGZ,2012,12.15141
Kyrgyzstan,KGZ,2013,13.22085
Kyrgyzstan,KGZ,2014,11.91938
Laos,LAO,1995,7.60702
Laos,LAO,1996,8.62464
Laos,LAO,1997,11.33221
Laos,LAO,1998,9.14945
Laos,LAO,1999,6.29409
Laos,LAO,2000,5.17434
Laos,LAO,2001,5.10414
Laos,LAO,2002,6.21099
Laos,LAO,2003,6.49156
Laos,LAO,2004,5.42025
Laos,LAO,2005,4.14984
Laos,LAO,2006,6.95041
Laos,LAO,2007,5.79364
Laos,LAO,2008,5.95808
Laos,LAO,2009,8.78893
Laos,LAO,2010,5.22265
Laos,LAO,2011,3.61324
Laos,LAO,2012,3.44296
Laos,LAO,2013,3.44296
Laos,LAO,2014,3.44296
Latvia,LVA,1995,9.94049
Latvia,LVA,1996,9.51392
Latvia,LVA,1997,9.56855
Latvia,LVA,1998,9.28074
Latvia,LVA,1999,8.95556
Latvia,LVA,2000,8.68144
Latvia,LVA,2001,9.03247
Latvia,LVA,2002,9.11084
Latvia,LVA,2003,9.30923
Latvia,LVA,2004,10.26265
Latvia,LVA,2005,10.14995
Latvia,LVA,2006,11.37362
Latvia,LVA,2007,11.8381
Latvia,LVA,2008,10.55234
Latvia,LVA,2009,9.31162
Latvia,LVA,2010,9.07618
Latvia,LVA,2011,10.08457
Latvia,LVA,2012,9.80509
Latvia,LVA,2013,9.80509
Latvia,LVA,2014,9.80509
Lebanon,LBN,1995,13.8251
Lebanon,LBN,1996,11.60816
Lebanon,LBN,1997,12.65231
Lebanon,LBN,1998,9.18982
Lebanon,LBN,1999,8.3868
Lebanon,LBN,2000,7.58453
Lebanon,LBN,2001,9.72179
Lebanon,LBN,2002,10.29319
Lebanon,LBN,2003,9.7285
Lebanon,LBN,2004,11.04095
Lebanon,LBN,2005,11.79905
Lebanon,LBN,2006,9.94848
Lebanon,LBN,2007,10.45104
Lebanon,LBN,2008,9.07178
Lebanon,LBN,2009,9.66311
Lebanon,LBN,2010,9.18652
Lebanon,LBN,2011,9.55777
Lebanon,LBN,2012,10.72474
Lebanon,LBN,2013,10.72474
Lebanon,LBN,2014,10.72474
Lesotho,LSO,1995,6.39401
Lesotho,LSO,1996,6.31229
Lesotho,LSO,1997,5.05607
Lesotho,LSO,1998,6.00582
Lesotho,LSO,1999,5.89028
Lesotho,LSO,2000,6.28778
Lesotho,LSO,2001,8.8073
Lesotho,LSO,2002,7.38425
Lesotho,LSO,2003,8.32997
Lesotho,LSO,2004,8.69084
Lesotho,LSO,2005,6.71485
Lesotho,LSO,2006,7.76923
Lesotho,LSO,2007,10
Lesotho,LSO,2008,9.83494
Lesotho,LSO,2009,11.03478
Lesotho,LSO,2010,13.20408
Lesotho,LSO,2011,14.47826
Lesotho,LSO,2012,13.12222
Lesotho,LSO,2013,12.82059
Lesotho,LSO,2014,13.08214
Liberia,LBR,1998,6.90292
Liberia,LBR,1999,6.70157
Liberia,LBR,2000,6.65229
Liberia,LBR,2001,9.5993
Liberia,LBR,2002,5.87557
Liberia,LBR,2003,7.30883
Liberia,LBR,2004,11.95012
Liberia,LBR,2005,13.28454
Liberia,LBR,2006,8.83048
Liberia,LBR,2007,17.25023
Liberia,LBR,2008,17.21096
Liberia,LBR,2009,16.61062
Liberia,LBR,2010,12.80275
Liberia,LBR,2011,15.91986
Liberia,LBR,2012,11.57961
Liberia,LBR,2013,9.91608
Liberia,LBR,2014,11.86426
Libya,LBY,1995,5.54718
Libya,LBY,1996,5.54718
Libya,LBY,1997,5.54718
Libya,LBY,1998,5.54718
Libya,LBY,1999,5.54718
Libya,LBY,2000,6.03982
Libya,LBY,2001,5.78299
Libya,LBY,2002,7.75643
Libya,LBY,2003,6.3086
Libya,LBY,2004,5.4212
Libya,LBY,2005,5.78062
Libya,LBY,2006,5.27549
Libya,LBY,2007,4.81507
Libya,LBY,2008,3.7038
Libya,LBY,2009,4.09074
Libya,LBY,2010,4.33415
Libya,LBY,2011,6.42167
Libya,LBY,2012,7.93913
Libya,LBY,2013,4.92782
Libya,LBY,2014,4.92782
Lithuania,LTU,1995,11.57447
Lithuania,LTU,1996,10.80609
Lithuania,LTU,1997,8.28493
Lithuania,LTU,1998,11.22315
Lithuania,LTU,1999,11.37416
Lithuania,LTU,2000,11.31781
Lithuania,LTU,2001,12.13686
Lithuania,LTU,2002,13.54726
Lithuania,LTU,2003,14.58178
Lithuania,LTU,2004,11.27594
Lithuania,LTU,2005,11.62184
Lithuania,LTU,2006,12.59564
Lithuania,LTU,2007,12.86238
Lithuania,LTU,2008,12.62155
Lithuania,LTU,2009,12.22309
Lithuania,LTU,2010,11.88339
Lithuania,LTU,2011,12.25269
Lithuania,LTU,2012,12.05943
Lithuania,LTU,2013,12.52528
Lithuania,LTU,2014,13.36456
Low-income,,1995,8.72403
Low-income,,1996,9.32397
Low-income,,1997,9.1493
Low-income,,1998,9.69156
Low-income,,1999,8.78769
Low-income,,2000,10.93781
Low-income,,2001,12.33259
Low-income,,2002,12.61902
Low-income,,2003,12.95558
Low-income,,2004,13.13953
Low-income,,2005,12.70875
Low-income,,2006,13.98513
Low-income,,2007,12.11525
Low-income,,2008,12.11389
Low-income,,2009,11.64609
Low-income,,2010,12.32835
Low-income,,2011,11.76132
Low-income,,2012,11.77998
Low-income,,2013,10.91723
Low-income,,2014,10.54903
Lower-middle-income,,1995,6.06004
Lower-middle-income,,1996,6.23413
Lower-middle-income,,1997,6.04795
Lower-middle-income,,1998,6.32149
Lower-middle-income,,1999,5.99193
Lower-middle-income,,2000,6.00346
Lower-middle-income,,2001,5.95034
Lower-middle-income,,2002,5.64978
Lower-middle-income,,2003,5.69491
Lower-middle-income,,2004,6.05843
Lower-middle-income,,2005,6.10767
Lower-middle-income,,2006,6.33636
Lower-middle-income,,2007,6.4685
Lower-middle-income,,2008,6.15028
Lower-middle-income,,2009,6.27764
Lower-middle-income,,2010,6.22126
Lower-middle-income,,2011,6.30131
Lower-middle-income,,2012,6.51068
Lower-middle-income,,2013,6.60205
Lower-middle-income,,2014,6.70958
Luxembourg,LUX,1995,12.96586
Luxembourg,LUX,1996,12.75298
Luxembourg,LUX,1997,12.72504
Luxembourg,LUX,1998,12.75577
Luxembourg,LUX,1999,13.34941
Luxembourg,LUX,2000,16.92092
Luxembourg,LUX,2001,16.35453
Luxembourg,LUX,2002,17.019
Luxembourg,LUX,2003,15.44877
Luxembourg,LUX,2004,16.34488
Luxembourg,LUX,2005,16.24485
Luxembourg,LUX,2006,17.09942
Luxembourg,LUX,2007,16.05076
Luxembourg,LUX,2008,16.59295
Luxembourg,LUX,2009,15.54906
Luxembourg,LUX,2010,15.15211
Luxembourg,LUX,2011,14.71365
Luxembourg,LUX,2012,13.63882
Luxembourg,LUX,2013,13.63882
Luxembourg,LUX,2014,13.63882
Madagascar,MDG,1995,8.08936
Madagascar,MDG,1996,10.65012
Madagascar,MDG,1997,12.21561
Madagascar,MDG,1998,9.72105
Madagascar,MDG,1999,11.3303
Madagascar,MDG,2000,14.0454
Madagascar,MDG,2001,15.27888
Madagascar,MDG,2002,18.1151
Madagascar,MDG,2003,11.72149
Madagascar,MDG,2004,9.676
Madagascar,MDG,2005,12.28446
Madagascar,MDG,2006,13.15424
Madagascar,MDG,2007,14.67082
Madagascar,MDG,2008,13.51259
Madagascar,MDG,2009,17.11762
Madagascar,MDG,2010,18.56152
Madagascar,MDG,2011,17.32428
Madagascar,MDG,2012,13.51079
Madagascar,MDG,2013,17.22074
Madagascar,MDG,2014,10.18389
Malawi,MWI,1995,5.06289
Malawi,MWI,1996,5.06289
Malawi,MWI,1997,5.06289
Malawi,MWI,1998,5.18459
Malawi,MWI,1999,6.54114
Malawi,MWI,2000,8.98018
Malawi,MWI,2001,8.71631
Malawi,MWI,2002,12.96216
Malawi,MWI,2003,16.7273
Malawi,MWI,2004,21.02276
Malawi,MWI,2005,19.99219
Malawi,MWI,2006,20.0305
Malawi,MWI,2007,13.2515
Malawi,MWI,2008,19.93715
Malawi,MWI,2009,18.51721
Malawi,MWI,2010,20.12189
Malawi,MWI,2011,20.68989
Malawi,MWI,2012,22.09774
Malawi,MWI,2013,16.76807
Malawi,MWI,2014,16.76807
Malaysia,MYS,1995,5.2296
Malaysia,MYS,1996,5.28535
Malaysia,MYS,1997,4.7006
Malaysia,MYS,1998,4.73869
Malaysia,MYS,1999,4.94532
Malaysia,MYS,2000,5.25378
Malaysia,MYS,2001,5.36972
Malaysia,MYS,2002,5.2029
Malaysia,MYS,2003,5.92483
Malaysia,MYS,2004,6.36517
Malaysia,MYS,2005,5.3225
Malaysia,MYS,2006,5.87803
Malaysia,MYS,2007,5.64193
Malaysia,MYS,2008,5.15273
Malaysia,MYS,2009,5.89012
Malaysia,MYS,2010,6.7473
Malaysia,MYS,2011,6.35887
Malaysia,MYS,2012,5.70728
Malaysia,MYS,2013,5.87617
Malaysia,MYS,2014,6.44961
Maldives,MDV,1995,10.03501
Maldives,MDV,1996,11.30847
Maldives,MDV,1997,10.97308
Maldives,MDV,1998,13.99148
Maldives,MDV,1999,13.2236
Maldives,MDV,2000,13.75
Maldives,MDV,2001,13.82942
Maldives,MDV,2002,13.2833
Maldives,MDV,2003,14.31896
Maldives,MDV,2004,15.87547
Maldives,MDV,2005,17.79617
Maldives,MDV,2006,14.09007
Maldives,MDV,2007,12.27651
Maldives,MDV,2008,18.49068
Maldives,MDV,2009,16.82672
Maldives,MDV,2010,14.38215
Maldives,MDV,2011,16.61555
Maldives,MDV,2012,19.25503
Maldives,MDV,2013,22.87089
Maldives,MDV,2014,26.59159
Mali,MLI,1995,12.05553
Mali,MLI,1996,13.56661
Mali,MLI,1997,11.37642
Mali,MLI,1998,9.60202
Mali,MLI,1999,7.88503
Mali,MLI,2000,8.88999
Mali,MLI,2001,11.93015
Mali,MLI,2002,10.09535
Mali,MLI,2003,10.699
Mali,MLI,2004,13.00415
Mali,MLI,2005,12.33766
Mali,MLI,2006,12.98408
Mali,MLI,2007,13.74137
Mali,MLI,2008,14.8137
Mali,MLI,2009,12.14201
Mali,MLI,2010,12.22613
Mali,MLI,2011,12.17793
Mali,MLI,2012,12.41679
Mali,MLI,2013,4.74362
Mali,MLI,2014,5.64284
Malta,MLT,1995,9.75803
Malta,MLT,1996,9.8757
Malta,MLT,1997,10.51453
Malta,MLT,1998,10.70027
Malta,MLT,1999,10.50908
Malta,MLT,2000,11.7944
Malta,MLT,2001,11.58794
Malta,MLT,2002,13.11316
Malta,MLT,2003,12.26239
Malta,MLT,2004,13.38045
Malta,MLT,2005,14.19371
Malta,MLT,2006,14.28398
Malta,MLT,2007,13.30916
Malta,MLT,2008,12.11138
Malta,MLT,2009,12.54001
Malta,MLT,2010,12.70991
Malta,MLT,2011,15.77902
Malta,MLT,2012,15.63719
Malta,MLT,2013,15.63719
Malta,MLT,2014,15.63719
Marshall Islands,MHL,1995,19.40564
Marshall Islands,MHL,1996,19.40564
Marshall Islands,MHL,1997,19.40442
Marshall Islands,MHL,1998,19.39403
Marshall Islands,MHL,1999,19.42195
Marshall Islands,MHL,2000,21.14543
Marshall Islands,MHL,2001,18.85997
Marshall Islands,MHL,2002,17.33078
Marshall Islands,MHL,2003,18.23064
Marshall Islands,MHL,2004,18.13681
Marshall Islands,MHL,2005,18.93271
Marshall Islands,MHL,2006,25.06122
Marshall Islands,MHL,2007,23.98909
Marshall Islands,MHL,2008,24.48252
Marshall Islands,MHL,2009,23.20381
Marshall Islands,MHL,2010,22.70481
Marshall Islands,MHL,2011,22.86111
Marshall Islands,MHL,2012,24.36952
Marshall Islands,MHL,2013,24.00868
Marshall Islands,MHL,2014,23.76062
Mauritania,MRT,1995,9.20309
Mauritania,MRT,1996,5.40654
Mauritania,MRT,1997,6.50011
Mauritania,MRT,1998,9.80713
Mauritania,MRT,1999,13.58492
Mauritania,MRT,2000,10.79535
Mauritania,MRT,2001,6.20342
Mauritania,MRT,2002,8.76038
Mauritania,MRT,2003,5.61375
Mauritania,MRT,2004,8.00447
Mauritania,MRT,2005,7.0942
Mauritania,MRT,2006,5.91202
Mauritania,MRT,2007,6.48941
Mauritania,MRT,2008,5.29287
Mauritania,MRT,2009,7.58549
Mauritania,MRT,2010,6.76699
Mauritania,MRT,2011,5.68634
Mauritania,MRT,2012,4.58019
Mauritania,MRT,2013,6.01029
Mauritania,MRT,2014,6.01029
Mauritius,MUS,1995,8.98685
Mauritius,MUS,1996,8.5069
Mauritius,MUS,1997,7.743
Mauritius,MUS,1998,9.93285
Mauritius,MUS,1999,8.21322
Mauritius,MUS,2000,8.70827
Mauritius,MUS,2001,10.85322
Mauritius,MUS,2002,9.34139
Mauritius,MUS,2003,8.81739
Mauritius,MUS,2004,9.74233
Mauritius,MUS,2005,9.38289
Mauritius,MUS,2006,8.81729
Mauritius,MUS,2007,8.85502
Mauritius,MUS,2008,7.94729
Mauritius,MUS,2009,8.53124
Mauritius,MUS,2010,10.29367
Mauritius,MUS,2011,9.98643
Mauritius,MUS,2012,9.84821
Mauritius,MUS,2013,9.5214
Mauritius,MUS,2014,9.99252
Mexico,MEX,1995,8.89976
Mexico,MEX,1996,7.51224
Mexico,MEX,1997,8.19973
Mexico,MEX,1998,9.25702
Mexico,MEX,1999,9.89798
Mexico,MEX,2000,10.51976
Mexico,MEX,2001,10.81978
Mexico,MEX,2002,10.69558
Mexico,MEX,2003,11.5695
Mexico,MEX,2004,12.79013
Mexico,MEX,2005,12.04719
Mexico,MEX,2006,11.18444
Mexico,MEX,2007,11.33364
Mexico,MEX,2008,10.64564
Mexico,MEX,2009,11.38336
Mexico,MEX,2010,11.53453
Mexico,MEX,2011,11.35873
Mexico,MEX,2012,11.4675
Mexico,MEX,2013,11.58149
Mexico,MEX,2014,11.58149
Micronesia (country),FSM,1995,11.27001
Micronesia (country),FSM,1996,11.29722
Micronesia (country),FSM,1997,11.30899
Micronesia (country),FSM,1998,8.95258
Micronesia (country),FSM,1999,9.70978
Micronesia (country),FSM,2000,10.91983
Micronesia (country),FSM,2001,12.46225
Micronesia (country),FSM,2002,12.49505
Micronesia (country),FSM,2003,13.48151
Micronesia (country),FSM,2004,13.95904
Micronesia (country),FSM,2005,19.08097
Micronesia (country),FSM,2006,18.26963
Micronesia (country),FSM,2007,18.80409
Micronesia (country),FSM,2008,19.79572
Micronesia (country),FSM,2009,18.92256
Micronesia (country),FSM,2010,18.62165
Micronesia (country),FSM,2011,19.10409
Micronesia (country),FSM,2012,17.76102
Micronesia (country),FSM,2013,20.39813
Micronesia (country),FSM,2014,21.22836
Moldova,MDA,1995,15.86153
Moldova,MDA,1996,18.50831
Moldova,MDA,1997,15.00998
Moldova,MDA,1998,13.02973
Moldova,MDA,1999,10.23119
Moldova,MDA,2000,8.87935
Moldova,MDA,2001,10.17313
Moldova,MDA,2002,11.79653
Moldova,MDA,2003,11.97879
Moldova,MDA,2004,11.9021
Moldova,MDA,2005,11.27249
Moldova,MDA,2006,11.74919
Moldova,MDA,2007,11.72645
Moldova,MDA,2008,12.97051
Moldova,MDA,2009,13.39179
Moldova,MDA,2010,13.77817
Moldova,MDA,2011,13.61896
Moldova,MDA,2012,13.76541
Moldova,MDA,2013,13.07631
Moldova,MDA,2014,13.31892
Monaco,MCO,1995,14.34314
Monaco,MCO,1996,13.15813
Monaco,MCO,1997,14.70172
Monaco,MCO,1998,14.55188
Monaco,MCO,1999,12.49168
Monaco,MCO,2000,14.24095
Monaco,MCO,2001,13.81275
Monaco,MCO,2002,14.57782
Monaco,MCO,2003,17.72268
Monaco,MCO,2004,16.64774
Monaco,MCO,2005,16.25944
Monaco,MCO,2006,15.55566
Monaco,MCO,2007,15.0149
Monaco,MCO,2008,15.79997
Monaco,MCO,2009,18.52079
Monaco,MCO,2010,18.82163
Monaco,MCO,2011,18.82163
Monaco,MCO,2012,18.82163
Monaco,MCO,2013,18.82163
Monaco,MCO,2014,18.82163
Mongolia,MNG,1995,9.77162
Mongolia,MNG,1996,10.59977
Mongolia,MNG,1997,9.93558
Mongolia,MNG,1998,9.62005
Mongolia,MNG,1999,10.12906
Mongolia,MNG,2000,11.08733
Mongolia,MNG,2001,11.0839
Mongolia,MNG,2002,9.73292
Mongolia,MNG,2003,8.66791
Mongolia,MNG,2004,9.18376
Mongolia,MNG,2005,9.88318
Mongolia,MNG,2006,9.1511
Mongolia,MNG,2007,7.75186
Mongolia,MNG,2008,8.46035
Mongolia,MNG,2009,7.8084
Mongolia,MNG,2010,8.40678
Mongolia,MNG,2011,6.8431
Mongolia,MNG,2012,5.8101
Mongolia,MNG,2013,5.49923
Mongolia,MNG,2014,6.72004
Montenegro,MNE,1995,16.86589
Montenegro,MNE,1996,16.86589
Montenegro,MNE,1997,16.86589
Montenegro,MNE,1998,16.86589
Montenegro,MNE,1999,16.86589
Montenegro,MNE,2000,16.86589
Montenegro,MNE,2001,16.86589
Montenegro,MNE,2002,16.86589
Montenegro,MNE,2003,17.74933
Montenegro,MNE,2004,16.89381
Montenegro,MNE,2005,14.34706
Montenegro,MNE,2006,13.5907
Montenegro,MNE,2007,11.39279
Montenegro,MNE,2008,9.68331
Montenegro,MNE,2009,7.314
Montenegro,MNE,2010,9.51383
Montenegro,MNE,2011,9.11266
Montenegro,MNE,2012,9.84266
Montenegro,MNE,2013,9.84266
Montenegro,MNE,2014,9.84266
Morocco,MAR,1995,4.8576
Morocco,MAR,1996,5.69735
Morocco,MAR,1997,5.08633
Morocco,MAR,1998,5.56307
Morocco,MAR,1999,5.49821
Morocco,MAR,2000,4.75781
Morocco,MAR,2001,5.32149
Morocco,MAR,2002,4.7228
Morocco,MAR,2003,5.11839
