indicator,numeric,yearly,single_ind,threshold_g7,included,direction
ind16.1.2.2,1,1,1,0,0,
ind16.1.3.1,1,1,1,1,1,-1
ind16.1.3.2,1,1,0,1,0,
ind16.1.3.3,1,1,0,1,0,
ind16.1.4,1,1,1,0,0,
ind16.2.1,1,0,1,0,0,
ind16.2.2.1,1,1,0,1,0,
ind16.2.2.2,1,1,0,1,0,
ind16.2.3.1,1,0,1,0,0,
ind16.2.3.2,1,1,1,0,0,
ind16.2.3.3,1,0,1,0,0,
ind16.2.3.4,1,0,1,0,0,
ind16.3.1,1,1,1,0,0,
ind16.3.2,1,0,1,0,0,
ind16.3.3,NA,NA,NA,NA,0,
ind16.4.1,NA,NA,NA,NA,0,
ind16.4.2,1,0,1,0,0,
ind16.5.1,1,1,1,0,0,
ind16.5.2,1,1,1,0,0,
ind16.6.1,1,1,1,0,0,
ind16.6.2,NA,NA,NA,NA,0,
ind16.7.1.1,1,0,1,0,0,
ind16.7.1.2,1,0,1,0,0,
ind16.7.2,NA,NA,NA,NA,0,
ind16.8.1.1,1,0,0,0,0,
ind16.8.1.2,1,0,0,0,0,
ind16.9.1,1,1,1,0,0,
ind16.10.1,1,1,1,0,0,
ind16.10.2,1,0,1,0,0,
ind16.A.1.1,1,0,1,0,0,
ind16.A.1.2,1,0,1,0,0,
ind16.B.1,1,1,1,0,0,
ind17.1.1,1,1,1,0,0,
ind17.1.2,1,1,1,0,0,
ind17.2.1.1,1,1,1,1,1,1
ind17.2.1.2,1,1,1,1,1,1
ind17.3.1,1,1,1,1,1,1
ind17.3.2,1,1,1,1,1,1
ind17.4.1,1,1,1,0,0,
ind17.5.1.1,1,1,1,0,0,
ind17.5.1.2,1,1,1,0,0,
ind17.6.1,1,1,1,1,1,1
ind17.7.1,NA,NA,NA,NA,0,
ind17.8.1,1,1,1,1,1,1
ind17.9.1,1,1,1,0,0,
ind17.10.1,1,1,1,1,1,-1
ind17.11.1,1,1,1,1,1,1
ind17.12.1,1,1,0,0,0,
ind17.13.1.1,1,1,1,1,1,-1
ind17.13.1.2,1,1,1,0,0,
ind17.13.1.3,1,1,1,1,1,1
ind17.14.1,1,0,1,0,0,
ind17.15.1,1,0,0,0,0,
ind17.16.1.1,1,0,1,0,0,
ind17.16.1.2,0,0,1,0,0,
ind17.17.1,1,1,1,0,0,
ind17.18.1,1,1,1,0,0,
ind17.18.2,0,0,1,0,0,
ind17.18.3,1,0,0,0,0,
ind17.19.1,1,0,1,0,0,
ind17.19.2.1,0,0,1,0,0,
ind17.19.2.2,1,1,1,0,0,
ind17.19.2.3,1,1,1,0,0,
